REQ ID,Title,Status,AC-1,AC-2,AC-3,AC-4,AC-5,AC-6,AC-7,AC-8,AC-9,AC-10,AC-11
REQ-001,"Game Loop and Delta Time",VERIFIED,PASS,PASS,PASS,PASS,PASS,PASS,—,—,—,—,—
REQ-002,"Player Control (Starship)",VERIFIED,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,—
REQ-003,"Procedural Spawning",VERIFIED,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,—,—,—
REQ-004,"Obstacles",VERIFIED,PASS,PASS,PASS,PASS,—,—,—,—,—,—,—
REQ-005,"Collectibles",VERIFIED,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,—,—
REQ-006,"Collision Detection",VERIFIED,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,—,—,—
REQ-007,"Progressive Difficulty",VERIFIED,PASS,PASS,PASS,PASS,PASS,PASS,PASS,—,—,—,—
REQ-008,"Special Events",VERIFIED,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
REQ-009,"Scoring and HUD",VERIFIED,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,—,—
REQ-010,"Game State Screens",VERIFIED,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,—
REQ-011,"Audio",VERIFIED,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,—,—,—
REQ-012,"Technical Constraints",VERIFIED,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,—,—,—
